state,candidate2004,party2004,total2004
Illinois,Trowe,W,1
Illinois,Kennedy,W,1
Illinois,Christensen,W,1
Illinois,Breivogel,W,1
Illinois,,,5274322
Indiana,Bush,R,1479438
Indiana,Kerry,D,969011
Indiana,Badnarik,LBT,18058
Indiana,Nader,W,1328
Indiana,Cobb,W,102
Indiana,Kennedy,W,37
Indiana,Brown,W,22
Indiana,Bone,W,6
Indiana,,,2468002
Iowa,Bush,R,751957
Iowa,Kerry,D,741898
Iowa,Nader,NP,5973
Iowa,Badnarik,LBT,2992
Iowa,Peroutka,CON,1304
Iowa,Cobb,IG,1141
Iowa,Scattered,W,1094
Iowa,Harris,SWP,373
Iowa,Van Auken,NP,176
Iowa,,,1506908
Kansas,Bush,R,736456
Kansas,Kerry,D,434993
Kansas,Nader,REF,9348
Kansas,Badnarik,LBT,4013
Kansas,Peroutka,I,2899
Kansas,Cobb,W,33
Kansas,Van Auken,W,5
Kansas,Kennedy,W,5
Kansas,Brown,W,4
Kansas,,,1187756
Kentucky,Bush,R,1069439
Kentucky,Kerry,D,712733
Kentucky,Nader,I,8856
Kentucky,Badnarik,LBT,2619
Kentucky,Peroutka,CON,2213
Kentucky,Brown,W,13
Kentucky,Kennedy,W,9
Kentucky,,,1795882
Louisiana,Bush,R,1102169
Louisiana,Kerry,D,820299
Louisiana,Nader,TBL,7032
Louisiana,Peroutka,CON,5203
Louisiana,Badnarik,LBT,2781
Louisiana,Brown,PWF,1795
Louisiana,Amondson,P,1566
Louisiana,Cobb,LG,1276
Louisiana,Harris,SWP,985
Louisiana,,,1943106
Maine,Kerry,D,396842
Maine,Bush,R,330201
Maine,Nader,TBL,8069
Maine,Cobb,GI,2936
Maine,Badnarik,LBT,1965
Maine,Peroutka,CON,735
Maine,Scattered,W,4
Maine,,,740752
Maryland,Kerry,D,1334493
Maryland,Bush,R,1024703
Maryland,Nader,POP,11854
Maryland,Badnarik,LBT,6094
Maryland,Cobb,GRN,3632
Maryland,Peroutka,CON,3421
Maryland,Scattered,W,2440
Maryland,Schriner,W,27
Maryland,Kennedy,W,7
Maryland,Brown,W,4
Maryland,Bone,W,2
Maryland,Boyle,W,1
Maryland,,,2386678
Massachusetts,Kerry,D,1803800
Massachusetts,Bush,R,1071109
Massachusetts,Badnarik,LBT,15022
Massachusetts,Cobb,GR,10623
Massachusetts,Scattered,W,7028
Massachusetts,Nader,W,4806
Massachusetts,,,2912388
Michigan,Kerry,D,2479183
Michigan,Bush,R,2313746
Michigan,Nader,I,24035
Michigan,Badnarik,LBT,10552
Michigan,Cobb,GRN,5325
Michigan,Peroutka,UST,4980
Michigan,Brown,NL,1431
Michigan,,,4839252
Minnesota,Kerry,D,1445014
Minnesota,Bush,R,1346695
Minnesota,Nader,TBL,18683
Minnesota,Badnarik,LBT,4639
Minnesota,Cobb,GRN,4408
Minnesota,Peroutka,CON,3074
Minnesota,Scattered,W,2521
Minnesota,Harens,CHF,2387
Minnesota,Van Auken,SEP,539
Minnesota,Calero,SWP,416
Minnesota,Kennedy,W,4
Minnesota,Wishnatsky,W,2
Minnesota,Renderos,W,2
Minnesota,Brown,W,2
Minnesota,Graham-Pendergast,W,1
Minnesota,,,2828387
Mississippi,Bush,R,684981
Mississippi,Kerry,D,458094
Mississippi,Nader,REF,3177
Mississippi,Badnarik,LBT,1793
Mississippi,Peroutka,CON,1759
Mississippi,Harris,I,1268
Mississippi,Cobb,GRN,1073
Mississippi,,,1152145
Missouri,Bush,R,1455713
Missouri,Kerry,D,1259171
Missouri,Badnarik,LBT,9831
Missouri,Peroutka,CON,5355
Missouri,Nader,W,1294
Missouri,,,2731364
Montana,Bush,R,266063
Montana,Kerry,D,173710
Montana,Nader,I,6168
Montana,Peroutka,CON,1764
Montana,Badnarik,LBT,1733
Montana,Cobb,GRN,996
Montana,Kennedy,W,6
Montana,Beattie,W,3
Montana,Brown,W,2
Montana,,,450445
Nebraska,Bush,R,512814
Nebraska,Kerry,D,254328
Nebraska,Nader,BP,5698
Nebraska,Badnarik,LBT,2041
Nebraska,Peroutka,NB,1314
Nebraska,Cobb,GRN,978
Nebraska,Scattered,W,931
Nebraska,Calero,BP,82
Nebraska,,,778186
Nevada,Bush,R,418690
Nevada,Kerry,D,397190
Nevada,Nader,I,4838
Nevada,None of These Candidates,X,3688
Nevada,Badnarik,LBT,3176
Nevada,Peroutka,IAP,1152
Nevada,Cobb,GRN,853
Nevada,,,829587
New Hampshire,Kerry,D,340511
New Hampshire,Bush,R,331237
New Hampshire,Nader,I,4479
New Hampshire,Scattered,W,538
New Hampshire,Badnarik,W,372
New Hampshire,McCain,W,357
New Hampshire,Peroutka,W,161
New Hampshire,Dean,W,42
New Hampshire,Clark,W,14
New Hampshire,Powell,W,14
New Hampshire,Kucinich,W,8
New Hampshire,Edwards,W,5
New Hampshire,,,677738
New Jersey,Kerry,D,1911430
New Jersey,Bush,R,1670003
New Jersey,Nader,I,19418
New Jersey,Badnarik,LBT,4514
New Jersey,Peroutka,CON,2750
New Jersey,Cobb,GRN,1807
New Jersey,Brown,SOC,664
New Jersey,Van Auken,SEP,575
New Jersey,Calero,SWP,530
New Jersey,,,3611691
New Mexico,Bush,R,376930
New Mexico,Kerry,D,370942
New Mexico,Nader,I,4053
New Mexico,Badnarik,LBT,2382
New Mexico,Cobb,GRN,1226
New Mexico,Peroutka,CON,771
New Mexico,,,756304
New York,Kerry,D,4314280
New York,Bush,R,2962567
New York,Nader,GRN,99873
New York,Badnarik,LBT,11607
New York,Calero,SWP,2405
New York,Peroutka,W,207
New York,Cobb,W,87
New York,Kennedy,W,4
New York,Halpin,W,4
New York,Van Auken,W,2
New York,,,7391036
North Carolina,Bush,R,1961166
North Carolina,Kerry,D,1525849
North Carolina,Badnarik,LBT,11731
North Carolina,Nader,W,1805
North Carolina,Brown,W,348
North Carolina,Cobb,W,108
North Carolina,,,3501007
North Dakota,Bush,R,196651
North Dakota,Kerry,D,111052
North Dakota,Nader,I,3756
North Dakota,Badnarik,LBT,851
North Dakota,Peroutka,CON,514
North Dakota,Wishnatsky,W,9
North Dakota,,,312833
Ohio,Bush,R,2859768
Ohio,Kerry,D,2741167
Ohio,Badnarik,N,14676
Ohio,Peroutka,N,11939
Ohio,Cobb,W,192
Ohio,Schriner,W,114
Ohio,Harris,W,22
Ohio,Duncan,W,17
Ohio,Zych,W,11
Ohio,Parker,W,2
Ohio,,,5627908
Oklahoma,Bush,R,959792
Oklahoma,Kerry,D,503966
Oklahoma,,,1463758
Oregon,Kerry,D,943163
Oregon,Bush,R,866831
Oregon,Scattered,W,8956
Oregon,Badnarik,LBT,7260
Oregon,Cobb,PG,5315
Oregon,Peroutka,CON,5257
Oregon,,,1836782
Pennsylvania,Kerry,D,2938095
Pennsylvania,Bush,R,2793847
Pennsylvania,Badnarik,LBT,21185
Pennsylvania,Cobb,GRN,6319
Pennsylvania,Peroutka,CON,6318
Pennsylvania,Nader,W,2656
Pennsylvania,Scattered,W,1170
Pennsylvania,,,5769590
Rhode Island,Kerry,D,259760
Rhode Island,Bush,R,169046
Rhode Island,Nader,REF,4651
Rhode Island,Cobb,GRN,1333
Rhode Island,Badnarik,LBT,907
Rhode Island,Scattered,W,413
Rhode Island,Peroutka,CON,339
Rhode Island,McCain,W,284
Rhode Island,Parker,WW,253
Rhode Island,Powell,W,35
Rhode Island,Chafee,W,12
Rhode Island,Dean,W,12
Rhode Island,Buchanan,W,10
Rhode Island,Nader,W,10
Rhode Island,Bush,W,9
Rhode Island,Guilliani,W,9
Rhode Island,Clinton,W,8
Rhode Island,Kucinich,W,8
Rhode Island,Clinton,W,7
Rhode Island,Lieberman,W,6
Rhode Island,Mouse,W,6
Rhode Island,Shilling,W,6
Rhode Island,Kerry,W,5
Rhode Island,None of the Above,W,5
Rhode Island,,,437134
South Carolina,Bush,R,937974
South Carolina,Kerry,D,661699
South Carolina,Nader,IDP,5520
South Carolina,Peroutka,CON,5317
South Carolina,Badnarik,LBT,3608
South Carolina,Brown,UC,2124
South Carolina,Cobb,GRN,1488
South Carolina,,,1617730
South Dakota,Bush,R,232584
South Dakota,Kerry,D,149244
South Dakota,Nader,I,4320
South Dakota,Peroutka,CON,1103
South Dakota,Badnarik,LBT,964
South Dakota,,,388215
Tennessee,Bush,R,1384375
Tennessee,Kerry,D,1036477
Tennessee,Nader,I,8992
Tennessee,Badnarik,I,4866
Tennessee,Peroutka,I,2570
Tennessee,Cobb,W,33
Tennessee,Brown,W,6
Tennessee,,,2437319
Texas,Bush,R,4526917
Texas,Kerry,D,2832704
Texas,Badnarik,LBT,38787
Texas,Nader,W,9159
Texas,Peroutka,W,1636
Texas,Cobb,W,1014
Texas,Falk,W,219
Texas,Kennedy,W,126
Texas,Brown,W,111
Texas,Allen,W,92
Texas,,,7410765
Utah,Bush,R,663742
Utah,Kerry,D,241199
Utah,Nader,UN,11305
Utah,Peroutka,CON,6841
Utah,Badnarik,LBT,3375
Utah,Jay,PCH,946
Utah,Harris,SWP,393
Utah,Cobb,W,39
Utah,Topham,W,2
Utah,Schriner,W,1
Utah,Kennedy,W,1
Utah,,,927844
Vermont,Kerry,D,184067
Vermont,Bush,R,121180
Vermont,Nader,I,4494
Vermont,Badnarik,LBT,1102
Vermont,Scattered,W,957
Vermont,Parker,LU,265
Vermont,Calero,SWP,244
Vermont,,,312309
Virginia,Bush,R,1716959
Virginia,Kerry,D,1454742
Virginia,Badnarik,LBT,11032
Virginia,Peroutka,CON,10161
Virginia,Scattered,W,2952
Virginia,Nader,W,2393
Virginia,Cobb,W,104
Virginia,Brown,W,23
Virginia,Spence,W,1
Virginia,,,3198367
Washington,Kerry,D,1510201
Washington,Bush,R,1304894
Washington,Nader,I,23283
Washington,Badnarik,LBT,11955
Washington,Peroutka,CON,3922
Washington,Cobb,GRN,2974
Washington,Parker,WW,1077
Washington,Harris,SWP,547
Washington,Van Auken,SEP,231
Washington,,,2859084
West Virginia,Bush,R,423778
West Virginia,Kerry,D,326541
West Virginia,Nader,I,4063
West Virginia,Badnarik,LBT,1405
West Virginia,Peroutka,W,82
West Virginia,Kennedy,W,13
West Virginia,Cobb,W,5
West Virginia,,,755887
Wisconsin,Kerry,D,1489504
Wisconsin,Bush,R,1478120
Wisconsin,Nader,TBL,16390
Wisconsin,Badnarik,LBT,6464
Wisconsin,Scattered,W,2986
Wisconsin,Cobb,WG,2661
Wisconsin,Brown,SPW,471
Wisconsin,Harris,SWP,411
Wisconsin,,,2997007
Wyoming,Bush,R,167629
Wyoming,Kerry,D,70776
Wyoming,Nader,I,2741
Wyoming,Badnarik,LBT,1171
Wyoming,Peroutka,I,631
Wyoming,Scattered,W,480
Wyoming,,,243428
