state,candidate2008,party2008,total2008
Georgia,Obama,D,"1,844,123"
Georgia,Barr,LBT,"28,731"
Georgia,Baldwin,W,"1,402"
Georgia,Nader,W,"1,158"
Georgia,McKinney,W,250
Georgia,Peroutka,W,23
Georgia,Harris,W,20
Georgia,Allen,W,8
Georgia,Moore,W,6
Georgia,Byrne,W,4
Georgia,Brown,W,2
Georgia,,,"3,924,486"
Hawaii,Obama,D,"325,871"
Hawaii,McCain,R,"120,566"
Hawaii,Nader,I,"3,825"
Hawaii,Barr,LBT,"1,314"
Hawaii,Baldwin,CON,"1,013"
Hawaii,McKinney,GRE,979
Hawaii,,,"453,568"
Idaho,McCain,R,"403,012"
Idaho,Obama,D,"236,440"
Idaho,Nader,I,"7,175"
Idaho,Baldwin,CON,"4,747"
Idaho,Barr,LBT,"3,658"
Idaho,Keyes,W,40
Idaho,McKinney,W,39
Idaho,Claus,W,6
Idaho,Moore,W,3
Idaho,Bone,W,1
Idaho,MerePeace-MsMere,W,1
Idaho,,,"655,122"
Illinois,Obama,D,"3,419,348"
Illinois,McCain,R,"2,031,179"
Illinois,Nader,I,"30,948"
Illinois,Barr,LBT,"19,642"
Illinois,McKinney,GRE,"11,838"
Illinois,Baldwin,CPI,"8,256"
Illinois,Polachek,NEW,"1,149"
Illinois,Hobbs,W,4
Illinois,Allen,W,3
Illinois,Moore,W,3
Illinois,Paul,W,1
Illinois,,,"5,522,371"
Indiana,Obama,D,"1,374,039"
Indiana,McCain,R,"1,345,648"
Indiana,Barr,LBT,"29,257"
Indiana,Baldwin,W,"1,024"
Indiana,Nader,W,909
Indiana,McKinney,W,87
Indiana,Castle,W,51
Indiana,Moore,W,14
Indiana,Faith,W,12
Indiana,Mottus,W,9
Indiana,Bone,W,2
Indiana,Kujawski,W,1
Indiana,Plemons,W,1
Indiana,,,"2,751,054"
Iowa,Obama,D,"828,940"
Iowa,McCain,R,"682,379"
Iowa,Nader,PAF,"8,014"
Iowa,Scattered,W,"6,737"
Iowa,Barr,LBT,"4,590"
Iowa,Baldwin,CON,"4,445"
Iowa,McKinney,GRE,"1,423"
Iowa,Harris,SWP,292
Iowa,Moore,SOC,182
Iowa,La Riva,PSL,121
Iowa,,,"1,537,123"
Kansas,McCain,R,"699,655"
Kansas,Obama,D,"514,765"
Kansas,Nader,I,"10,527"
Kansas,Barr,LBT,"6,706"
Kansas,Baldwin,REF,"4,148"
Kansas,McKinney,W,35
Kansas,Keyes,W,31
Kansas,Allen,W,2
Kansas,Moore,W,2
Kansas,Judd,W,1
Kansas,,,"1,235,872"
Kentucky,McCain,R,"1,048,462"
Kentucky,Obama,D,"751,985"
Kentucky,Nader,I,"15,378"
Kentucky,Barr,LBT,"5,989"
Kentucky,Baldwin,CON,"4,694"
Kentucky,Habermehl,W,57
Kentucky,Keyes,W,27
Kentucky,Mills,W,18
Kentucky,Moore,W,7
Kentucky,Allen,W,1
Kentucky,Judd,W,1
Kentucky,Upchurch,W,1
Kentucky,,,"1,826,620"
Louisiana,McCain,R,"1,148,275"
Louisiana,Obama,D,"782,989"
Louisiana,Paul,LTX,"9,368"
Louisiana,McKinney,GRE,"9,187"
Louisiana,Nader,I,"6,997"
Louisiana,Baldwin,CON,"2,581"
Louisiana,Harris,SWP,735
Louisiana,La Riva,SLP,354
Louisiana,Amondson,P,275
Louisiana,,,"1,960,761"
Maine,Obama,D,"421,923"
Maine,McCain,R,"295,273"
Maine,Nader,I,"10,636"
Maine,McKinney,GI,"2,900"
Maine,Barr,W,251
Maine,Baldwin,W,177
Maine,Allen,W,3
Maine,,,"731,163"
Maryland,Obama,D,"1,629,467"
Maryland,McCain,R,"959,862"
Maryland,Nader,I,"14,713"
Maryland,Barr,LBT,"9,842"
Maryland,Scattered,W,"9,043"
Maryland,McKinney,GRE,"4,747"
Maryland,Baldwin,CON,"3,760"
Maryland,Keyes,W,103
Maryland,Allen,W,17
Maryland,Taylor,W,12
Maryland,Moore,W,10
Maryland,Schriner,W,8
Maryland,Starr,W,4
Maryland,Heupel,W,2
Maryland,Moore,W,2
Maryland,Aparicio,W,1
Maryland,Brown,W,1
Maryland,Hobbs,W,1
Maryland,Jay,W,1
Maryland,,,"2,631,596"
Massachusetts,Obama,D,"1,904,097"
Massachusetts,McCain,R,"1,108,854"
Massachusetts,Nader,I,"28,841"
Massachusetts,Scattered,W,"14,483"
Massachusetts,Barr,LBT,"13,189"
Massachusetts,McKinney,GR,"6,550"
Massachusetts,Baldwin,CON,"4,971"
Massachusetts,,,"3,080,985"
Michigan,Obama,D,"2,872,579"
Michigan,McCain,R,"2,048,639"
Michigan,Nader,NLP,"33,085"
Michigan,Barr,LBT,"23,716"
Michigan,Baldwin,UST,"14,685"
Michigan,McKinney,GRE,"8,892"
Michigan,Keyes,W,129
Michigan,Moore,W,41
Michigan,,,"5,001,766"
Minnesota,Obama,D,"1,573,354"
Minnesota,McCain,R,"1,275,409"
Minnesota,Nader,I,"30,152"
Minnesota,Scattered,W,"9,496"
Minnesota,Barr,LBT,"9,174"
Minnesota,Baldwin,CON,"6,787"
Minnesota,McKinney,GRE,"5,174"
Minnesota,Calero,SWP,790
Minnesota,Keyes,W,22
Minnesota,Moore,W,7
Minnesota,Schriner,W,3
Minnesota,Montgomery,W,1
Minnesota,,,"2,910,369"
Mississippi,McCain,R,"724,597"
Mississippi,Obama,D,"554,662"
Mississippi,Nader,I,"4,011"
Mississippi,Baldwin,CON,"2,551"
Mississippi,Barr,LBT,"2,529"
Mississippi,McKinney,GRE,"1,034"
Mississippi,Weill,REF,481
Mississippi,,,"1,289,865"
Missouri,McCain,R,"1,445,814"
Missouri,Obama,D,"1,441,911"
Missouri,Nader,I,"17,813"
Missouri,Barr,LBT,"11,386"
Missouri,Baldwin,CON,"8,201"
Missouri,McKinney,W,80
Missouri,,,"2,925,205"
Montana,McCain,R,"242,763"
Montana,Obama,D,"231,667"
Montana,Paul,CON,"10,638"
Montana,Nader,I,"3,686"
Montana,Barr,LBT,"1,355"
Montana,Baldwin,W,143
Montana,McKinney,W,23
Montana,Heupel,W,12
Montana,Clemente,W,10
Montana,Claus,W,3
Montana,Allen,W,1
Montana,Wyatt,W,1
Montana,,,"490,302"
Nebraska,McCain,R,"452,979"
Nebraska,Obama,D,"333,319"
Nebraska,Nader,BP,"5,406"
Nebraska,Baldwin,NB,"2,972"
Nebraska,Scattered,W,"2,837"
Nebraska,Barr,LBT,"2,740"
Nebraska,McKinney,GRE,"1,028"
Nebraska,,,"801,281"
Nevada,Obama,D,"533,736"
Nevada,McCain,R,"412,827"
Nevada,None of These Candidates,None,"6,267"
Nevada,Nader,I,"6,150"
Nevada,Barr,LBT,"4,263"
Nevada,Baldwin,IAP,"3,194"
Nevada,McKinney,GRE,"1,411"
Nevada,,,"967,848"
New Hampshire,Obama,D,"384,826"
New Hampshire,McCain,R,"316,534"
New Hampshire,Nader,I,"3,503"
New Hampshire,Barr,LBT,"2,217"
New Hampshire,Clinton,W,"1,124"
New Hampshire,Paul,W,"1,092"
New Hampshire,Others,W,673
New Hampshire,Phillies,LBT,531
New Hampshire,Baldwin,W,226
New Hampshire,Romney,W,112
New Hampshire,Huckabee,W,61
New Hampshire,McKinney,W,40
New Hampshire,Palin,W,18
New Hampshire,Clinton,W,13
New Hampshire,,,"710,970"
New Jersey,Obama,D,"2,215,422"
New Jersey,McCain,R,"1,613,207"
New Jersey,Nader,I,"21,298"
New Jersey,Barr,LBT,"8,441"
New Jersey,Baldwin,CON,"3,956"
New Jersey,McKinney,GRE,"3,636"
New Jersey,Moore,SOC,699
New Jersey,Boss,VH,639
New Jersey,Calero,SWP,523
New Jersey,La Riva,SLP,416
New Jersey,,,"3,868,237"
New Mexico,Obama,D,"472,422"
New Mexico,McCain,R,"346,832"
New Mexico,Nader,NMI,"5,327"
New Mexico,Barr,LBT,"2,428"
New Mexico,Baldwin,CON,"1,597"
New Mexico,McKinney,GRE,"1,552"
New Mexico,,,"830,158"
New York,Obama,Combined Parties:,"4,804,945"
New York,Obama,D,"4,645,332"
New York,McCain,Combined Parties:,"2,752,771"
New York,McCain,R,"2,418,323"
New York,McCain,CRV,"170,475"
New York,McCain,IDP,"163,973"
New York,Obama,WF,"159,613"
New York,Nader,POP,"41,249"
New York,Barr,LBT,"19,596"
New York,McKinney,GRE,"12,801"
New York,Calero,SWP,"3,615"
New York,La Riva,SLP,"1,639"
New York,Baldwin,W,634
New York,Keyes,W,35
New York,White,W,18
New York,Moore,W,10
New York,Washington,W,3
New York,Allen,W,1
New York,Skok,W,1
New York,Scattered,W,"3,613"
New York,,,"7,640,931"
North Carolina,Obama,D,"2,142,651"
North Carolina,McCain,R,"2,128,474"
North Carolina,Barr,LBT,"25,722"
North Carolina,Scattered,W,"12,298"
North Carolina,Nader,W,"1,448"
North Carolina,McKinney,W,158
North Carolina,Moore,W,38
North Carolina,,,"4,310,789"
North Dakota,McCain,R,"168,601"
North Dakota,Obama,D,"141,278"
North Dakota,Nader,I,"4,189"
North Dakota,Barr,LBT,"1,354"
North Dakota,Baldwin,CON,"1,199"
North Dakota,,,"316,621"
Ohio,Obama,D,"2,940,044"
Ohio,McCain,R,"2,677,820"
Ohio,Nader,I,"42,337"
Ohio,Barr,LBT,"19,917"
Ohio,Baldwin,CON,"12,565"
Ohio,McKinney,GRE,"8,518"
Ohio,Duncan,I,"3,905"
Ohio,Moore,SOC,"2,735"
Ohio,Allen,W,212
Ohio,Keyes,W,160
Ohio,Schriner,W,71
Ohio,Robertson,W,63
Ohio,Allen,W,2
Ohio,Germalic,W,1
Ohio,,,"5,708,350"
Oklahoma,McCain,R,"960,165"
Oklahoma,Obama,D,"502,496"
Oklahoma,,,"1,462,661"
Oregon,Obama,D,"1,037,291"
Oregon,McCain,R,"738,475"
Oregon,Nader,PE,"18,614"
Oregon,Scattered,W,"13,613"
Oregon,Baldwin,CON,"7,693"
Oregon,Barr,LBT,"7,635"
Oregon,McKinney,PG,"4,543"
Oregon,,,"1,827,864"
Pennsylvania,Obama,D,"3,276,363"
Pennsylvania,McCain,R,"2,655,885"
Pennsylvania,Nader,I,"42,977"
Pennsylvania,Barr,LBT,"19,912"
Pennsylvania,Scattered,W,"8,180"
Pennsylvania,Clinton,W,"5,014"
Pennsylvania,Paul,W,"3,849"
Pennsylvania,Baldwin,W,"1,092"
Pennsylvania,,,"6,013,272"
Rhode Island,Obama,D,"296,571"
Rhode Island,McCain,R,"165,391"
Rhode Island,Nader,I,"4,829"
Rhode Island,Barr,LBT,"1,382"
Rhode Island,McKinney,GRE,797
Rhode Island,Baldwin,CON,675
Rhode Island,Scattered,W,667
Rhode Island,Clinton,W,655
Rhode Island,Paul,W,472
Rhode Island,La Riva,SLP,122
Rhode Island,No Vote,W,43
Rhode Island,Huckabee,W,34
Rhode Island,Romney,W,25
Rhode Island,Gore,W,15
Rhode Island,Powell,W,14
Rhode Island,Mouse,W,11
Rhode Island,None of Above,W,11
Rhode Island,Colbert,W,8
Rhode Island,Jesus,W,7
Rhode Island,Bloomberg,W,6
Rhode Island,Clinton,W,6
Rhode Island,Cianci,W,5
Rhode Island,Keyes,W,5
Rhode Island,Kucinich,W,5
Rhode Island,Plumber,W,5
Rhode Island,Ventura,W,5
Rhode Island,,,"471,766"
South Carolina,McCain,R,"1,034,896"
South Carolina,Obama,D,"862,449"
South Carolina,Barr,LBT,"7,283"
South Carolina,Baldwin,CON,"6,827"
South Carolina,Nader,PET,"5,053"
South Carolina,McKinney,GRE,"4,461"
South Carolina,,,"1,920,969"
South Dakota,McCain,R,"203,054"
South Dakota,Obama,D,"170,924"
South Dakota,Nader,I,"4,267"
South Dakota,Baldwin,CON,"1,895"
South Dakota,Barr,I,"1,835"
South Dakota,,,"381,975"
Tennessee,McCain,R,"1,479,178"
Tennessee,Obama,D,"1,087,437"
Tennessee,Nader,I,"11,560"
Tennessee,Barr,I,"8,547"
Tennessee,Baldwin,I,"8,191"
Tennessee,McKinney,W,"2,499"
Tennessee,Moore,I,"1,326"
Tennessee,Jay,I,"1,011"
Tennessee,,,"2,599,749"
Texas,McCain,R,"4,479,328"
Texas,Obama,D,"3,528,633"
Texas,Barr,LBT,"56,116"
Texas,Nader,W,"5,751"
Texas,Baldwin,W,"5,708"
Texas,Keyes,W,895
Texas,McKinney,W,909
Texas,Hill,W,216
Texas,Moore,W,135
Texas,Allen,W,104
Texas,,,"8,077,795"
Utah,McCain,R,"596,030"
Utah,Obama,D,"327,670"
Utah,Baldwin,CON,"12,012"
Utah,Nader,UN,"8,416"
Utah,Barr,LBT,"6,966"
Utah,McKinney,UN,982
Utah,La Riva,UN,262
Utah,Keyes,W,25
Utah,Moore,W,3
Utah,Allen,W,2
Utah,Jay,W,1
Utah,Sponheim,W,1
Utah,,,"952,370"
Vermont,Obama,D,"219,262"
Vermont,McCain,R,"98,974"
Vermont,Nader,I,"3,339"
Vermont,Scattered,W,"1,398"
Vermont,Barr,LBT,"1,067"
Vermont,Baldwin,CON,500
Vermont,Calero,SWP,150
Vermont,La Riva,SLP,149
Vermont,Moore,LU,141
Vermont,McKinney,W,66
Vermont,,,"325,046"
Virginia,Obama,D,"1,959,532"
Virginia,McCain,R,"1,725,005"
Virginia,Nader,I,"11,483"
Virginia,Barr,LBT,"11,067"
Virginia,Baldwin,IGR,"7,474"
Virginia,Scattered,W,"6,355"
Virginia,McKinney,GRE,"2,344"
Virginia,,,"3,723,260"
Washington,Obama,D,"1,750,848"
Washington,McCain,R,"1,229,216"
Washington,Nader,I,"29,489"
Washington,Barr,LBT,"12,728"
Washington,Baldwin,CON,"9,432"
Washington,McKinney,GRE,"3,819"
Washington,La Riva,SLP,705
Washington,Harris,SWP,641
Washington,,,"3,036,878"
West Virginia,McCain,R,"397,466"
West Virginia,Obama,D,"303,857"
West Virginia,Nader,GRN,"7,219"
West Virginia,Baldwin,CON,"2,465"
West Virginia,McKinney,MTP,"2,355"
West Virginia,Claus,W,59
West Virginia,Rice,W,18
West Virginia,Allen,W,4
West Virginia,Brown,W,3
West Virginia,Railey,W,3
West Virginia,Hobbs,W,1
West Virginia,Moore,W,1
West Virginia,,,"713,451"
Wisconsin,Obama,D,"1,677,211"
Wisconsin,McCain,R,"1,262,393"
Wisconsin,Nader,I,"17,605"
Wisconsin,Barr,LBT,"8,858"
Wisconsin,Scattered,W,"6,521"
Wisconsin,Baldwin,I,"5,072"
Wisconsin,McKinney,WG,"4,216"
Wisconsin,Wamboldt,I,764
Wisconsin,Moore,I,540
Wisconsin,La Riva,I,237
Wisconsin,,,"2,983,417"
Wyoming,McCain,R,"164,958"
Wyoming,Obama,D,"82,868"
Wyoming,Nader,I,"2,525"
Wyoming,Barr,LBT,"1,594"
Wyoming,Scattered,W,"1,521"
Wyoming,Baldwin,I,"1,192"
Wyoming,,,"254,658"
,,,
