Ward Precinct Code,Ward Precinct,Race Code,Race,Candidate Code,Candidate,Count
101,"Ward 1, Precinct 1",203,QUESTION 3,20,NO,358
101,"Ward 1, Precinct 1",203,QUESTION 3,999995,Blank,75
101,"Ward 1, Precinct 1",203,QUESTION 3,999996,Total,1401
101,"Ward 1, Precinct 1",204,QUESTION 4,10,YES,844
101,"Ward 1, Precinct 1",204,QUESTION 4,20,NO,291
101,"Ward 1, Precinct 1",204,QUESTION 4,999995,Blank,266
101,"Ward 1, Precinct 1",204,QUESTION 4,999996,Total,1401
101,"Ward 1, Precinct 1",220,QUESTION 5 MJ (MIDD-SUFF)),10,YES,913
101,"Ward 1, Precinct 1",220,QUESTION 5 MJ (MIDD-SUFF)),20,NO,265
101,"Ward 1, Precinct 1",220,QUESTION 5 MJ (MIDD-SUFF)),999995,Blank,223
101,"Ward 1, Precinct 1",220,QUESTION 5 MJ (MIDD-SUFF)),999996,Total,1401
101,"Ward 1, Precinct 1",270,QUESTION 6 CORP (26TH),10,YES,958
101,"Ward 1, Precinct 1",270,QUESTION 6 CORP (26TH),20,NO,188
101,"Ward 1, Precinct 1",270,QUESTION 6 CORP (26TH),999995,Blank,255
101,"Ward 1, Precinct 1",270,QUESTION 6 CORP (26TH),999996,Total,1401
102,"Ward 1, Precinct 2",5,PRESIDENT/VICE PRESIDENT,10,JOHNSON & GRAY,12
102,"Ward 1, Precinct 2",5,PRESIDENT/VICE PRESIDENT,20,OBAMA & BIDEN,1092
102,"Ward 1, Precinct 2",5,PRESIDENT/VICE PRESIDENT,30,ROMNEY & RYAN,249
102,"Ward 1, Precinct 2",5,PRESIDENT/VICE PRESIDENT,40,STEIN & HONKALA,26
102,"Ward 1, Precinct 2",5,PRESIDENT/VICE PRESIDENT,60,Write-in,8
102,"Ward 1, Precinct 2",5,PRESIDENT/VICE PRESIDENT,999995,Blank,3
102,"Ward 1, Precinct 2",5,PRESIDENT/VICE PRESIDENT,999996,Total,1390
102,"Ward 1, Precinct 2",10,SENATOR in CONGRESS,5,SCOTT P BROWN,335
102,"Ward 1, Precinct 2",10,SENATOR in CONGRESS,10,ELIZABETH A WARREN,1041
102,"Ward 1, Precinct 2",10,SENATOR in CONGRESS,20,Write-in,4
102,"Ward 1, Precinct 2",10,SENATOR in CONGRESS,999995,Blank,10
102,"Ward 1, Precinct 2",10,SENATOR in CONGRESS,999996,Total,1390
102,"Ward 1, Precinct 2",27,REP in CONGRESS 7th Dist,10,MICHAEL E CAPUANO,1088
102,"Ward 1, Precinct 2",27,REP in CONGRESS 7th Dist,15,KARLA ROMERO,194
102,"Ward 1, Precinct 2",27,REP in CONGRESS 7th Dist,20,Write-in,5
102,"Ward 1, Precinct 2",27,REP in CONGRESS 7th Dist,999995,Blank,103
102,"Ward 1, Precinct 2",27,REP in CONGRESS 7th Dist,999996,Total,1390
102,"Ward 1, Precinct 2",30,COUNCILLOR,10,TERRENCE W KENNEDY,1061
102,"Ward 1, Precinct 2",30,COUNCILLOR,40,Write-in,21
102,"Ward 1, Precinct 2",30,COUNCILLOR,999995,Blank,308
102,"Ward 1, Precinct 2",30,COUNCILLOR,999996,Total,1390
102,"Ward 1, Precinct 2",53,SEN/GEN CT Middle&Suff,10,SAL N DiDOMENICO,1060
102,"Ward 1, Precinct 2",53,SEN/GEN CT Middle&Suff,20,Write-in,20
102,"Ward 1, Precinct 2",53,SEN/GEN CT Middle&Suff,999995,Blank,310
102,"Ward 1, Precinct 2",53,SEN/GEN CT Middle&Suff,999996,Total,1390
102,"Ward 1, Precinct 2",66,REP/GEN CT 26th Middle,10,"TIMOTHY J TOOMEY, JR",978
102,"Ward 1, Precinct 2",66,REP/GEN CT 26th Middle,15,THOMAS M VASCONCELOS,100
102,"Ward 1, Precinct 2",66,REP/GEN CT 26th Middle,16,MIKE CONNOLLY,219
102,"Ward 1, Precinct 2",66,REP/GEN CT 26th Middle,20,Write-in,0
102,"Ward 1, Precinct 2",66,REP/GEN CT 26th Middle,999995,Blank,93
102,"Ward 1, Precinct 2",66,REP/GEN CT 26th Middle,999996,Total,1390
102,"Ward 1, Precinct 2",80,CLERK of COURTS,10,MICHAEL A SULLIVAN,1080
102,"Ward 1, Precinct 2",80,CLERK of COURTS,20,Write-in,17
102,"Ward 1, Precinct 2",80,CLERK of COURTS,999995,Blank,293
102,"Ward 1, Precinct 2",80,CLERK of COURTS,999996,Total,1390
102,"Ward 1, Precinct 2",90,REGISTER of DEEDS,40,MARIA C CURTATONE,1037
102,"Ward 1, Precinct 2",90,REGISTER of DEEDS,70,WI - MaryAnn Heuston,0
102,"Ward 1, Precinct 2",90,REGISTER of DEEDS,80,Write-in,13
102,"Ward 1, Precinct 2",90,REGISTER of DEEDS,999995,Blank,340
102,"Ward 1, Precinct 2",90,REGISTER of DEEDS,999996,Total,1390
102,"Ward 1, Precinct 2",100,SHERIFF,10,PETER J KOUTOUJIAN,899
102,"Ward 1, Precinct 2",100,SHERIFF,15,ERNESTO M PETRONE,206
102,"Ward 1, Precinct 2",100,SHERIFF,19,WI - James Williamson,0
102,"Ward 1, Precinct 2",100,SHERIFF,20,Write-in,5
102,"Ward 1, Precinct 2",100,SHERIFF,999995,Blank,280
102,"Ward 1, Precinct 2",100,SHERIFF,999996,Total,1390
102,"Ward 1, Precinct 2",201,QUESTION 1,10,YES,982
102,"Ward 1, Precinct 2",201,QUESTION 1,20,NO,180
102,"Ward 1, Precinct 2",201,QUESTION 1,999995,Blank,228
102,"Ward 1, Precinct 2",201,QUESTION 1,999996,Total,1390
102,"Ward 1, Precinct 2",202,QUESTION 2,10,YES,805
102,"Ward 1, Precinct 2",202,QUESTION 2,20,NO,477
102,"Ward 1, Precinct 2",202,QUESTION 2,999995,Blank,108
102,"Ward 1, Precinct 2",202,QUESTION 2,999996,Total,1390
102,"Ward 1, Precinct 2",203,QUESTION 3,10,YES,958
102,"Ward 1, Precinct 2",203,QUESTION 3,20,NO,329
102,"Ward 1, Precinct 2",203,QUESTION 3,999995,Blank,103
102,"Ward 1, Precinct 2",203,QUESTION 3,999996,Total,1390
102,"Ward 1, Precinct 2",204,QUESTION 4,10,YES,860
102,"Ward 1, Precinct 2",204,QUESTION 4,20,NO,251
102,"Ward 1, Precinct 2",204,QUESTION 4,999995,Blank,279
102,"Ward 1, Precinct 2",204,QUESTION 4,999996,Total,1390
102,"Ward 1, Precinct 2",220,QUESTION 5 MJ (MIDD-SUFF)),10,YES,868
102,"Ward 1, Precinct 2",220,QUESTION 5 MJ (MIDD-SUFF)),20,NO,276
102,"Ward 1, Precinct 2",220,QUESTION 5 MJ (MIDD-SUFF)),999995,Blank,246
102,"Ward 1, Precinct 2",220,QUESTION 5 MJ (MIDD-SUFF)),999996,Total,1390
102,"Ward 1, Precinct 2",270,QUESTION 6 CORP (26TH),10,YES,909
102,"Ward 1, Precinct 2",270,QUESTION 6 CORP (26TH),20,NO,216
102,"Ward 1, Precinct 2",270,QUESTION 6 CORP (26TH),999995,Blank,265
102,"Ward 1, Precinct 2",270,QUESTION 6 CORP (26TH),999996,Total,1390
103,"Ward 1, Precinct 3",5,PRESIDENT/VICE PRESIDENT,10,JOHNSON & GRAY,17
103,"Ward 1, Precinct 3",5,PRESIDENT/VICE PRESIDENT,20,OBAMA & BIDEN,1209
103,"Ward 1, Precinct 3",5,PRESIDENT/VICE PRESIDENT,30,ROMNEY & RYAN,237
103,"Ward 1, Precinct 3",5,PRESIDENT/VICE PRESIDENT,40,STEIN & HONKALA,25
103,"Ward 1, Precinct 3",5,PRESIDENT/VICE PRESIDENT,60,Write-in,3
103,"Ward 1, Precinct 3",5,PRESIDENT/VICE PRESIDENT,999995,Blank,7
103,"Ward 1, Precinct 3",5,PRESIDENT/VICE PRESIDENT,999996,Total,1498
103,"Ward 1, Precinct 3",10,SENATOR in CONGRESS,5,SCOTT P BROWN,323
103,"Ward 1, Precinct 3",10,SENATOR in CONGRESS,10,ELIZABETH A WARREN,1147
103,"Ward 1, Precinct 3",10,SENATOR in CONGRESS,20,Write-in,1
103,"Ward 1, Precinct 3",10,SENATOR in CONGRESS,999995,Blank,27
103,"Ward 1, Precinct 3",10,SENATOR in CONGRESS,999996,Total,1498
103,"Ward 1, Precinct 3",27,REP in CONGRESS 7th Dist,10,MICHAEL E CAPUANO,1176
103,"Ward 1, Precinct 3",27,REP in CONGRESS 7th Dist,15,KARLA ROMERO,183
103,"Ward 1, Precinct 3",27,REP in CONGRESS 7th Dist,20,Write-in,2
103,"Ward 1, Precinct 3",27,REP in CONGRESS 7th Dist,999995,Blank,137
103,"Ward 1, Precinct 3",27,REP in CONGRESS 7th Dist,999996,Total,1498
103,"Ward 1, Precinct 3",30,COUNCILLOR,10,TERRENCE W KENNEDY,1166
103,"Ward 1, Precinct 3",30,COUNCILLOR,40,Write-in,9
103,"Ward 1, Precinct 3",30,COUNCILLOR,999995,Blank,323
103,"Ward 1, Precinct 3",30,COUNCILLOR,999996,Total,1498
103,"Ward 1, Precinct 3",53,SEN/GEN CT Middle&Suff,10,SAL N DiDOMENICO,1165
103,"Ward 1, Precinct 3",53,SEN/GEN CT Middle&Suff,20,Write-in,8
103,"Ward 1, Precinct 3",53,SEN/GEN CT Middle&Suff,999995,Blank,325
103,"Ward 1, Precinct 3",53,SEN/GEN CT Middle&Suff,999996,Total,1498
103,"Ward 1, Precinct 3",66,REP/GEN CT 26th Middle,10,"TIMOTHY J TOOMEY, JR",1091
103,"Ward 1, Precinct 3",66,REP/GEN CT 26th Middle,15,THOMAS M VASCONCELOS,69
103,"Ward 1, Precinct 3",66,REP/GEN CT 26th Middle,16,MIKE CONNOLLY,226
103,"Ward 1, Precinct 3",66,REP/GEN CT 26th Middle,20,Write-in,0
103,"Ward 1, Precinct 3",66,REP/GEN CT 26th Middle,999995,Blank,112
103,"Ward 1, Precinct 3",66,REP/GEN CT 26th Middle,999996,Total,1498
103,"Ward 1, Precinct 3",80,CLERK of COURTS,10,MICHAEL A SULLIVAN,1192
103,"Ward 1, Precinct 3",80,CLERK of COURTS,20,Write-in,10
103,"Ward 1, Precinct 3",80,CLERK of COURTS,999995,Blank,296
103,"Ward 1, Precinct 3",80,CLERK of COURTS,999996,Total,1498
103,"Ward 1, Precinct 3",90,REGISTER of DEEDS,40,MARIA C CURTATONE,1139
103,"Ward 1, Precinct 3",90,REGISTER of DEEDS,70,WI - MaryAnn Heuston,0
103,"Ward 1, Precinct 3",90,REGISTER of DEEDS,80,Write-in,13
103,"Ward 1, Precinct 3",90,REGISTER of DEEDS,999995,Blank,346
103,"Ward 1, Precinct 3",90,REGISTER of DEEDS,999996,Total,1498
103,"Ward 1, Precinct 3",100,SHERIFF,10,PETER J KOUTOUJIAN,988
103,"Ward 1, Precinct 3",100,SHERIFF,15,ERNESTO M PETRONE,186
103,"Ward 1, Precinct 3",100,SHERIFF,19,WI - James Williamson,0
103,"Ward 1, Precinct 3",100,SHERIFF,20,Write-in,5
103,"Ward 1, Precinct 3",100,SHERIFF,999995,Blank,319
103,"Ward 1, Precinct 3",100,SHERIFF,999996,Total,1498
103,"Ward 1, Precinct 3",201,QUESTION 1,10,YES,991
103,"Ward 1, Precinct 3",201,QUESTION 1,20,NO,169
103,"Ward 1, Precinct 3",201,QUESTION 1,999995,Blank,338
103,"Ward 1, Precinct 3",201,QUESTION 1,999996,Total,1498
103,"Ward 1, Precinct 3",202,QUESTION 2,10,YES,763
103,"Ward 1, Precinct 3",202,QUESTION 2,20,NO,569
103,"Ward 1, Precinct 3",202,QUESTION 2,999995,Blank,166
103,"Ward 1, Precinct 3",202,QUESTION 2,999996,Total,1498
103,"Ward 1, Precinct 3",203,QUESTION 3,10,YES,935
103,"Ward 1, Precinct 3",203,QUESTION 3,20,NO,387
103,"Ward 1, Precinct 3",203,QUESTION 3,999995,Blank,176
103,"Ward 1, Precinct 3",203,QUESTION 3,999996,Total,1498
103,"Ward 1, Precinct 3",204,QUESTION 4,10,YES,907
103,"Ward 1, Precinct 3",204,QUESTION 4,20,NO,239
103,"Ward 1, Precinct 3",204,QUESTION 4,999995,Blank,352
103,"Ward 1, Precinct 3",204,QUESTION 4,999996,Total,1498
103,"Ward 1, Precinct 3",220,QUESTION 5 MJ (MIDD-SUFF)),10,YES,866
103,"Ward 1, Precinct 3",220,QUESTION 5 MJ (MIDD-SUFF)),20,NO,317
103,"Ward 1, Precinct 3",220,QUESTION 5 MJ (MIDD-SUFF)),999995,Blank,315
103,"Ward 1, Precinct 3",220,QUESTION 5 MJ (MIDD-SUFF)),999996,Total,1498
103,"Ward 1, Precinct 3",270,QUESTION 6 CORP (26TH),10,YES,904
103,"Ward 1, Precinct 3",270,QUESTION 6 CORP (26TH),20,NO,253
103,"Ward 1, Precinct 3",270,QUESTION 6 CORP (26TH),999995,Blank,341
103,"Ward 1, Precinct 3",270,QUESTION 6 CORP (26TH),999996,Total,1498
201,"Ward 2, Precinct 1",5,PRESIDENT/VICE PRESIDENT,10,JOHNSON & GRAY,16
201,"Ward 2, Precinct 1",5,PRESIDENT/VICE PRESIDENT,20,OBAMA & BIDEN,1353
201,"Ward 2, Precinct 1",5,PRESIDENT/VICE PRESIDENT,30,ROMNEY & RYAN,79
201,"Ward 2, Precinct 1",5,PRESIDENT/VICE PRESIDENT,40,STEIN & HONKALA,22
201,"Ward 2, Precinct 1",5,PRESIDENT/VICE PRESIDENT,60,Write-in,6
201,"Ward 2, Precinct 1",5,PRESIDENT/VICE PRESIDENT,999995,Blank,6
201,"Ward 2, Precinct 1",5,PRESIDENT/VICE PRESIDENT,999996,Total,1482
201,"Ward 2, Precinct 1",10,SENATOR in CONGRESS,5,SCOTT P BROWN,137
201,"Ward 2, Precinct 1",10,SENATOR in CONGRESS,10,ELIZABETH A WARREN,1328
201,"Ward 2, Precinct 1",10,SENATOR in CONGRESS,20,Write-in,1
201,"Ward 2, Precinct 1",10,SENATOR in CONGRESS,999995,Blank,16
201,"Ward 2, Precinct 1",10,SENATOR in CONGRESS,999996,Total,1482
201,"Ward 2, Precinct 1",27,REP in CONGRESS 7th Dist,10,MICHAEL E CAPUANO,1203
201,"Ward 2, Precinct 1",27,REP in CONGRESS 7th Dist,15,KARLA ROMERO,158
201,"Ward 2, Precinct 1",27,REP in CONGRESS 7th Dist,20,Write-in,1
201,"Ward 2, Precinct 1",27,REP in CONGRESS 7th Dist,999995,Blank,120
201,"Ward 2, Precinct 1",27,REP in CONGRESS 7th Dist,999996,Total,1482
201,"Ward 2, Precinct 1",30,COUNCILLOR,10,TERRENCE W KENNEDY,1231
201,"Ward 2, Precinct 1",30,COUNCILLOR,40,Write-in,12
201,"Ward 2, Precinct 1",30,COUNCILLOR,999995,Blank,239
201,"Ward 2, Precinct 1",30,COUNCILLOR,999996,Total,1482
201,"Ward 2, Precinct 1",53,SEN/GEN CT Middle&Suff,10,SAL N DiDOMENICO,1189
201,"Ward 2, Precinct 1",53,SEN/GEN CT Middle&Suff,20,Write-in,10
201,"Ward 2, Precinct 1",53,SEN/GEN CT Middle&Suff,999995,Blank,283
201,"Ward 2, Precinct 1",53,SEN/GEN CT Middle&Suff,999996,Total,1482
201,"Ward 2, Precinct 1",66,REP/GEN CT 26th Middle,10,"TIMOTHY J TOOMEY, JR",992
201,"Ward 2, Precinct 1",66,REP/GEN CT 26th Middle,15,THOMAS M VASCONCELOS,49
201,"Ward 2, Precinct 1",66,REP/GEN CT 26th Middle,16,MIKE CONNOLLY,318
201,"Ward 2, Precinct 1",66,REP/GEN CT 26th Middle,20,Write-in,1
201,"Ward 2, Precinct 1",66,REP/GEN CT 26th Middle,999995,Blank,122
201,"Ward 2, Precinct 1",66,REP/GEN CT 26th Middle,999996,Total,1482
201,"Ward 2, Precinct 1",80,CLERK of COURTS,10,MICHAEL A SULLIVAN,1197
201,"Ward 2, Precinct 1",80,CLERK of COURTS,20,Write-in,8
201,"Ward 2, Precinct 1",80,CLERK of COURTS,999995,Blank,277
201,"Ward 2, Precinct 1",80,CLERK of COURTS,999996,Total,1482
201,"Ward 2, Precinct 1",90,REGISTER of DEEDS,40,MARIA C CURTATONE,1140
201,"Ward 2, Precinct 1",90,REGISTER of DEEDS,70,WI - MaryAnn Heuston,0
201,"Ward 2, Precinct 1",90,REGISTER of DEEDS,80,Write-in,18
201,"Ward 2, Precinct 1",90,REGISTER of DEEDS,999995,Blank,324
201,"Ward 2, Precinct 1",90,REGISTER of DEEDS,999996,Total,1482
201,"Ward 2, Precinct 1",100,SHERIFF,10,PETER J KOUTOUJIAN,1074
201,"Ward 2, Precinct 1",100,SHERIFF,15,ERNESTO M PETRONE,120
201,"Ward 2, Precinct 1",100,SHERIFF,19,WI - James Williamson,0
201,"Ward 2, Precinct 1",100,SHERIFF,20,Write-in,6
201,"Ward 2, Precinct 1",100,SHERIFF,999995,Blank,282
201,"Ward 2, Precinct 1",100,SHERIFF,999996,Total,1482
201,"Ward 2, Precinct 1",201,QUESTION 1,10,YES,967
201,"Ward 2, Precinct 1",201,QUESTION 1,20,NO,174
201,"Ward 2, Precinct 1",201,QUESTION 1,999995,Blank,341
201,"Ward 2, Precinct 1",201,QUESTION 1,999996,Total,1482
201,"Ward 2, Precinct 1",202,QUESTION 2,10,YES,696
201,"Ward 2, Precinct 1",202,QUESTION 2,20,NO,585
201,"Ward 2, Precinct 1",202,QUESTION 2,999995,Blank,201
201,"Ward 2, Precinct 1",202,QUESTION 2,999996,Total,1482
201,"Ward 2, Precinct 1",203,QUESTION 3,10,YES,935
201,"Ward 2, Precinct 1",203,QUESTION 3,20,NO,347
201,"Ward 2, Precinct 1",203,QUESTION 3,999995,Blank,200
201,"Ward 2, Precinct 1",203,QUESTION 3,999996,Total,1482
201,"Ward 2, Precinct 1",204,QUESTION 4,10,YES,920
201,"Ward 2, Precinct 1",204,QUESTION 4,20,NO,234
201,"Ward 2, Precinct 1",204,QUESTION 4,999995,Blank,328
201,"Ward 2, Precinct 1",204,QUESTION 4,999996,Total,1482
201,"Ward 2, Precinct 1",220,QUESTION 5 MJ (MIDD-SUFF)),10,YES,811
201,"Ward 2, Precinct 1",220,QUESTION 5 MJ (MIDD-SUFF)),20,NO,360
201,"Ward 2, Precinct 1",220,QUESTION 5 MJ (MIDD-SUFF)),999995,Blank,311
201,"Ward 2, Precinct 1",220,QUESTION 5 MJ (MIDD-SUFF)),999996,Total,1482
201,"Ward 2, Precinct 1",270,QUESTION 6 CORP (26TH),10,YES,881
201,"Ward 2, Precinct 1",270,QUESTION 6 CORP (26TH),20,NO,267
201,"Ward 2, Precinct 1",270,QUESTION 6 CORP (26TH),999995,Blank,334
201,"Ward 2, Precinct 1",270,QUESTION 6 CORP (26TH),999996,Total,1482
202,"Ward 2, Precinct 2",5,PRESIDENT/VICE PRESIDENT,10,JOHNSON & GRAY,18
202,"Ward 2, Precinct 2",5,PRESIDENT/VICE PRESIDENT,20,OBAMA & BIDEN,480
202,"Ward 2, Precinct 2",5,PRESIDENT/VICE PRESIDENT,30,ROMNEY & RYAN,91
202,"Ward 2, Precinct 2",5,PRESIDENT/VICE PRESIDENT,40,STEIN & HONKALA,12
202,"Ward 2, Precinct 2",5,PRESIDENT/VICE PRESIDENT,60,Write-in,3
202,"Ward 2, Precinct 2",5,PRESIDENT/VICE PRESIDENT,999995,Blank,2
202,"Ward 2, Precinct 2",5,PRESIDENT/VICE PRESIDENT,999996,Total,606
202,"Ward 2, Precinct 2",10,SENATOR in CONGRESS,5,SCOTT P BROWN,120
202,"Ward 2, Precinct 2",10,SENATOR in CONGRESS,10,ELIZABETH A WARREN,462
202,"Ward 2, Precinct 2",10,SENATOR in CONGRESS,20,Write-in,0
202,"Ward 2, Precinct 2",10,SENATOR in CONGRESS,999995,Blank,24
202,"Ward 2, Precinct 2",10,SENATOR in CONGRESS,999996,Total,606
202,"Ward 2, Precinct 2",27,REP in CONGRESS 7th Dist,10,MICHAEL E CAPUANO,410
202,"Ward 2, Precinct 2",27,REP in CONGRESS 7th Dist,15,KARLA ROMERO,92
202,"Ward 2, Precinct 2",27,REP in CONGRESS 7th Dist,20,Write-in,4
202,"Ward 2, Precinct 2",27,REP in CONGRESS 7th Dist,999995,Blank,100
202,"Ward 2, Precinct 2",27,REP in CONGRESS 7th Dist,999996,Total,606
202,"Ward 2, Precinct 2",30,COUNCILLOR,10,TERRENCE W KENNEDY,466
202,"Ward 2, Precinct 2",30,COUNCILLOR,40,Write-in,7
202,"Ward 2, Precinct 2",30,COUNCILLOR,999995,Blank,133
202,"Ward 2, Precinct 2",30,COUNCILLOR,999996,Total,606
202,"Ward 2, Precinct 2",41,SEN/GEN CT 1st Suff&Midd,10,ANTHONY PETRUCCELLI,401
202,"Ward 2, Precinct 2",41,SEN/GEN CT 1st Suff&Midd,15,"THOMAS J DOOLEY, III",78
202,"Ward 2, Precinct 2",41,SEN/GEN CT 1st Suff&Midd,20,Write-in,4
202,"Ward 2, Precinct 2",41,SEN/GEN CT 1st Suff&Midd,999995,Blank,123
202,"Ward 2, Precinct 2",41,SEN/GEN CT 1st Suff&Midd,999996,Total,606
202,"Ward 2, Precinct 2",78,REP/GEN CT 8th Suffolk,10,MARTHA MARTY WALZ,453
202,"Ward 2, Precinct 2",78,REP/GEN CT 8th Suffolk,20,Write-in,10
202,"Ward 2, Precinct 2",78,REP/GEN CT 8th Suffolk,999995,Blank,143
202,"Ward 2, Precinct 2",78,REP/GEN CT 8th Suffolk,999996,Total,606
202,"Ward 2, Precinct 2",80,CLERK of COURTS,10,MICHAEL A SULLIVAN,455
202,"Ward 2, Precinct 2",80,CLERK of COURTS,20,Write-in,6
202,"Ward 2, Precinct 2",80,CLERK of COURTS,999995,Blank,145
202,"Ward 2, Precinct 2",80,CLERK of COURTS,999996,Total,606
202,"Ward 2, Precinct 2",90,REGISTER of DEEDS,40,MARIA C CURTATONE,454
202,"Ward 2, Precinct 2",90,REGISTER of DEEDS,70,WI - MaryAnn Heuston,0
202,"Ward 2, Precinct 2",90,REGISTER of DEEDS,80,Write-in,6
202,"Ward 2, Precinct 2",90,REGISTER of DEEDS,999995,Blank,146
202,"Ward 2, Precinct 2",90,REGISTER of DEEDS,999996,Total,606
202,"Ward 2, Precinct 2",100,SHERIFF,10,PETER J KOUTOUJIAN,367
202,"Ward 2, Precinct 2",100,SHERIFF,15,ERNESTO M PETRONE,77
202,"Ward 2, Precinct 2",100,SHERIFF,19,WI - James Williamson,0
202,"Ward 2, Precinct 2",100,SHERIFF,20,Write-in,5
202,"Ward 2, Precinct 2",100,SHERIFF,999995,Blank,157
202,"Ward 2, Precinct 2",100,SHERIFF,999996,Total,606
202,"Ward 2, Precinct 2",201,QUESTION 1,10,YES,459
202,"Ward 2, Precinct 2",201,QUESTION 1,20,NO,55
202,"Ward 2, Precinct 2",201,QUESTION 1,999995,Blank,92
202,"Ward 2, Precinct 2",201,QUESTION 1,999996,Total,606
202,"Ward 2, Precinct 2",202,QUESTION 2,10,YES,368
202,"Ward 2, Precinct 2",202,QUESTION 2,20,NO,187
